s_label	Genus	Species	subspecies	Strain	Accn_n	gss_label	lifestyle	Fermentation_type	which_sequence	seq_abbr	group_16S	group_color	outgroup
Lactobacillus_acidophilus	Lactobacillus	acidophilus	NA	ATCC_4356	AF429493	Lactobacillus acidophilus	Vertebrate	HO	refseq	Lactob_aci_ATCC_4356	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_amylolyticus	Lactobacillus	amylolyticus	NA	LA_5	Y17361	Lactobacillus amylolyticus	Vertebrate	HO	LPSN	Lactob_amy_LA_5	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_amylovorus	Lactobacillus	amylovorus	NA	ATCC_33620	AF133264	Lactobacillus amylovorus	Vertebrate	HO	refseq	Lactob_amy_ATCC_33620	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_apis	Lactobacillus	apis	NA	CCM_8403	MT760199	Lactobacillus apis	Insect	HO	LPSN	Lactob_apisCCM_8403	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_bombicola	Lactobacillus	bombicola	NA	LMG_28288	LK054485	Lactobacillus bombicola	Insect	HO	LPSN	Lactob_bom_LMG_28288	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_colini	Lactobacillus	colini	NA	111144-L1	KU161105	Lactobacillus colini	Vertebrate	HO	LPSN	Lactob_col_111144-L1	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_crispatus	Lactobacillus	crispatus	NA	strain_ATCC_33820	AF133265	Lactobacillus crispatus	Vertebrate	HO	refseq	Lactob_cri_strain_ATCC_33820	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_delbrueckii_subsp._bulgaricus	Lactobacillus	delbrueckii	bulgaricus	DSM20081(T)	AJ010835	Lactobacillus delbrueckii bulgaricus	Vertebrate	HO	refseq	Lactob_del_bul_DSM20081(T)	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_delbrueckii_subsp._delbrueckii	Lactobacillus	delbrueckii	delbrueckii	DSMZ_20074	EF468101	Lactobacillus delbrueckii delbrueckii	Vertebrate	HO	refseq	Lactob_del_del_DSMZ_20074	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_delbrueckii_subsp._indicus	Lactobacillus	delbrueckii	indicus	NCC_725	AY421720	Lactobacillus delbrueckii indicus	Vertebrate	HO	LPSN	Lactob_del_ind_NCC_725	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_delbrueckii_subsp._jakobsenii	Lactobacillus	delbrueckii	jakobsenii	ZN7a-9	JQ801728	Lactobacillus delbrueckii jakobsenii	Vertebrate	HO	LPSN	Lactob_del_jak_ZN7a-9	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_delbrueckii_subsp._lactis	Lactobacillus	delbrueckii	lactis	ATCC_12315	AF429505	Lactobacillus delbrueckii lactis	Vertebrate	HO	refseq	Lactob_del_lac_ATCC_12315	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_delbrueckii_subsp._sunkii	Lactobacillus	delbrueckii	sunkii	YIT_11221	AB641833	Lactobacillus delbrueckii sunkii	Vertebrate	HO	LPSN	Lactob_del_sun_YIT_11221	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_equicursoris	Lactobacillus	equicursoris	NA	DI70	AB290830	Lactobacillus equicursoris	Vertebrate	HO	LPSN	Lactob_equ_DI70	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_fornicalis	Lactobacillus	fornicalis	NA	JCM_12512	AB290883	Lactobacillus fornicalis	Vertebrate	HO	refseq	Lactob_for_JCM_12512	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_gallinarum	Lactobacillus	gallinarum	NA	DSM_10532	EF468093	Lactobacillus gallinarum	Vertebrate	HO	refseq	Lactob_gal_DSM_10532	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_gasseri	Lactobacillus	gasseri	NA	JCM_1131	AB289134	Lactobacillus gasseri	Vertebrate	HO	refseq	Lactob_gas_JCM_1131	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_gigeriorum	Lactobacillus	gigeriorum	NA	CRBIP_24.85	MN587967	Lactobacillus gigeriorum	Vertebrate	HO	refseq	Lactob_gig_CRBIP_24.85	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_hamsteri	Lactobacillus	hamsteri	NA	JCM_6256	AB289146	Lactobacillus hamsteri	Vertebrate	HO	refseq	Lactob_ham_JCM_6256	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_helsingborgensis	Lactobacillus	helsingborgensis	NA	Bma5N	JX099553	Lactobacillus helsingborgensis	Insect	HO	LPSN	Lactob_hel_Bma5N	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_helveticus	Lactobacillus	helveticus	NA	ATCC_15009	AF429509	Lactobacillus helveticus	Vertebrate	HO	refseq	Lactob_hel_ATCC_15009	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_hominis	Lactobacillus	hominis	NA	CRBIP_24.179	FR681902	Lactobacillus hominis	Vertebrate	HO	LPSN	Lactob_hom_CRBIP_24.179	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_iners	Lactobacillus	iners	NA	CCUG_28746	Y16329	Lactobacillus iners	Vertebrate	HO	LPSN	Lactob_ine_CCUG_28746	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_intestinalis	Lactobacillus	intestinalis	NA	JCM_7548	AB289170	Lactobacillus intestinalis	Vertebrate	HO	refseq	Lactob_int_JCM_7548	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_jensenii	Lactobacillus	jensenii	NA	ATCC_25258	AF429513	Lactobacillus jensenii	Vertebrate	HO	refseq	Lactob_jen_ATCC_25258	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_johnsonii	Lactobacillus	johnsonii	NA	DSM_10533	EF468091	Lactobacillus johnsonii	Vertebrate	HO	refseq	Lactob_joh_DSM_10533	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_kalixensis	Lactobacillus	kalixensis	NA	Kx127A2	AY253657	Lactobacillus kalixensis	Vertebrate	HO	LPSN	Lactob_kal_Kx127A2	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_kefiranofaciens_subsp._kefiranofaciens	Lactobacillus	kefiranofaciens	kefiranofaciens	ATCC_43761	AF429517	Lactobacillus kefiranofaciens kefiranofaciens	Vertebrate	HO	refseq	Lactob_kef_kef_ATCC_43761	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_kefiranofaciens_subsp._kefirgranum	Lactobacillus	kefiranofaciens	kefirgranum	ATCC_51647	AF429516	Lactobacillus kefiranofaciens kefirgranum	Vertebrate	HO	refseq	Lactob_kef_kef_ATCC_51647	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_kimbladii	Lactobacillus	kimbladii	NA	Hma2N	JX099549	Lactobacillus kimbladii	Insect	HO	LPSN	Lactob_kim_Hma2N	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_kitasatonis	Lactobacillus	kitasatonis	NA	JCM_1039	AB289190	Lactobacillus kitasatonis	Vertebrate	HO	refseq	Lactob_kit_JCM_1039	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_kullabergensis	Lactobacillus	kullabergensis	NA	Biut2N	JX099550	Lactobacillus kullabergensis	Insect	HO	LPSN	Lactob_kul_Biut2N	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_melliventris	Lactobacillus	melliventris	NA	Hma8N	JX099551	Lactobacillus melliventris	Insect	HO	LPSN	Lactob_mel_Hma8N	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_mulieris	Lactobacillus	mulieris	NA	c10Ua161M	MK775269	Lactobacillus mulieris	Vertebrate	HO	LPSN	Lactob_mul_c10Ua161M	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_panisapium	Lactobacillus	panisapium	NA	Bb_2-3	KX447147	Lactobacillus panisapium	Insect	HO	LPSN	Lactob_pan_Bb_2-3	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_paragasseri	Lactobacillus	paragasseri	NA	JCM_5343	LC374363	Lactobacillus paragasseri	Vertebrate	HO	LPSN	Lactob_par_JCM_5343	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_pasteurii	Lactobacillus	pasteurii	NA	strain_1517	FR681901	Lactobacillus pasteurii	Vertebrate	HO	LPSN	Lactob_pas_strain_1517	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_porci	Lactobacillus	porci	NA	SG816	MF346092	Lactobacillus porci	Vertebrate	HO	LPSN	Lactob_por_SG816	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_psittaci	Lactobacillus	psittaci	NA	JCM_11552	AB289268	Lactobacillus psittaci	Vertebrate	HO	genbank	Lactob_psi_JCM_11552	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_rodentium	Lactobacillus	rodentium	NA	MYMRS/TLU1	HQ851022	Lactobacillus rodentium	Vertebrate	HO	LPSN	Lactob_rod_MYMRS/TLU1	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_taiwanensis	Lactobacillus	taiwanensis	NA	BCRC_17755	EU487512	Lactobacillus taiwanensis	Vertebrate	HO	LPSN	Lactob_tai_BCRC_17755	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_ultunensis	Lactobacillus	ultunensis	NA	Kx146C1	AY253660	Lactobacillus ultunensis	Vertebrate	HO	LPSN	Lactob_ult_Kx146C1	8	#00B200	Lapidi_con_JCM_14153
Lactobacillus_xujianguonis	Lactobacillus	xujianguonis	NA	HT111-2	MK281589	Lactobacillus xujianguonis	Vertebrate	HO	LPSN	Lactob_xuj_HT111-2	8	#00B200	Lapidi_con_JCM_14153
Lapidilactobacillus_achengensis	Lapidilactobacillus	achengensis	NA	247-4	MK110810	Lapidilactobacillus achengensis	Unknown	HO	LPSN	Lapidi_ach_247-4	9	#006600	Lactob_del_bul_DSM20081(T)
Lapidilactobacillus_bayanensis	Lapidilactobacillus	bayanensis	NA	54-5	MK110807	Lapidilactobacillus bayanensis	Unknown	HO	LPSN	Lapidi_bay_54-5	9	#006600	Lactob_del_bul_DSM20081(T)
Lapidilactobacillus_concavus	Lapidilactobacillus	concavus	NA	JCM_14153	LC258135	Lapidilactobacillus concavus	Unknown	HO	LPSN	Lapidi_con_JCM_14153	9	#006600	Lactob_del_bul_DSM20081(T)
Lapidilactobacillus_dextrinicus	Lapidilactobacillus	dextrinicus	NA	ATCC_33087	AF404726	Lapidilactobacillus dextrinicus	Unknown	HO	refseq	Lapidi_dex_ATCC_33087	9	#006600	Lactob_del_bul_DSM20081(T)
Lapidilactobacillus_gannanensis	Lapidilactobacillus	gannanensis	NA	143-1	MK110813	Lapidilactobacillus gannanensis	Unknown	HO	LPSN	Lapidi_gan_143-1	9	#006600	Lactob_del_bul_DSM20081(T)
Lapidilactobacillus_mulanensis	Lapidilactobacillus	mulanensis	NA	143-6	MK110808	Lapidilactobacillus mulanensis	Unknown	HO	LPSN	Lapidi_mul_143-6	9	#006600	Lactob_del_bul_DSM20081(T)
Lapidilactobacillus_wuchangensis	Lapidilactobacillus	wuchangensis	NA	17-Apr	MK110811	Lapidilactobacillus wuchangensis	Unknown	HO	LPSN	Lapidi_wuc_17-4	9	#006600	Lactob_del_bul_DSM20081(T)
Latilactobacillus_curvatus	Latilactobacillus	curvatus	NA	JCM_1096	AB289077	Latilactobacillus curvatus	Free Living	HO	refseq	Latila_cur_JCM_1096	6	#e2c622	Lactip_pla_pla_DSMZ_20174
Latilactobacillus_fuchuensis	Latilactobacillus	fuchuensis	NA	JCM_11249	AB289120	Latilactobacillus fuchuensis	Free Living	HO	refseq	Latila_fuc_JCM_11249	6	#e2c622	Lactip_pla_pla_DSMZ_20174
Latilactobacillus_graminis	Latilactobacillus	graminis	NA	JCM_9503	AB289145	Latilactobacillus graminis	Free Living	HO	refseq	Latila_gra_JCM_9503	6	#e2c622	Lactip_pla_pla_DSMZ_20174
Latilactobacillus_sakei_subsp._carnosus	Latilactobacillus	sakei	carnosus	JCM_11031	AB289288	Latilactobacillus sakei carnosus	Free Living	HO	genbank	Latila_sak_car_JCM_11031	6	#e2c622	Lactip_pla_pla_DSMZ_20174
Latilactobacillus_sakei_subsp._sakei	Latilactobacillus	sakei	sakei	strain_ATCC_15521	AF429523	Latilactobacillus sakei sakei	Free Living	HO	refseq	Latila_sak_sak_strain_ATCC_15521	6	#e2c622	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_buchneri	Lentilactobacillus	buchneri	NA	JCM_1115	AB289055	Lentilactobacillus buchneri	Free Living	HE	refseq	Lentil_buc_JCM_1115	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_buchneri_subsp._silagei	Lentilactobacillus	buchneri	silagei	SG162	LC507198	Lentilactobacillus buchneri silagei	NA	HE	LPSN	Lentil_buc_sil_SG162	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_curieae	Lentilactobacillus	curieae	NA	S1L19	JQ086550	Lentilactobacillus curieae	Free Living	HE	LPSN	Lentil_cur_S1L19	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_diolivorans	Lentilactobacillus	diolivorans	NA	JCM_12183	AB289097	Lentilactobacillus diolivorans	Free Living	HE	refseq	Lentil_dio_JCM_12183	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_farraginis	Lentilactobacillus	farraginis	NA	NRIC_0676	AB262731	Lentilactobacillus farraginis	Free Living	HE	LPSN	Lentil_far_NRIC_0676	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_fungorum	Lentilactobacillus	fungorum	NA	YK48G	LC383843	Lentilactobacillus fungorum	NA	HE	LPSN	Lentil_fun_YK48G	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_hilgardii	Lentilactobacillus	hilgardii	NA	ATCC_8290	AF429510	Lentilactobacillus hilgardii	Free Living	HE	refseq	Lentil_hil_ATCC_8290	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_kefiri	Lentilactobacillus	kefiri	NA	ATCC_35411	AF429514	Lentilactobacillus kefiri	Free Living	HE	refseq	Lentil_kef_ATCC_35411	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_kisonensis	Lentilactobacillus	kisonensis	NA	YIT_11168	AB366388	Lentilactobacillus kisonensis	Free Living	HE	LPSN	Lentil_kis_YIT_11168	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_kosonis	Lentilactobacillus	kosonis	NA	C06_No.73	LC604908	Lentilactobacillus kosonis	NA	HE	LPSN	Lentil_kos_C06_No.73	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_kribbianus	Lentilactobacillus	kribbianus	NA	YH-lac9	MN935214	Lentilactobacillus kribbianus	NA	HE	LPSN	Lentil_kri_YH-lac9	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_otakiensis	Lentilactobacillus	otakiensis	NA	YIT_11163	AB366386	Lentilactobacillus otakiensis	Free Living	HE	LPSN	Lentil_ota_YIT_11163	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_parabuchneri	Lentilactobacillus	parabuchneri	NA	JCM_12493	AB289211	Lentilactobacillus parabuchneri	Free Living	HE	refseq	Lentil_par_JCM_12493	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_parafarraginis	Lentilactobacillus	parafarraginis	NA	NRIC_0677	AB262734	Lentilactobacillus parafarraginis	Free Living	HE	LPSN	Lentil_par_NRIC_0677	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_parakefiri	Lentilactobacillus	parakefiri	NA	JCM_8573	AB289232	Lentilactobacillus parakefiri	Free Living	HE	refseq	Lentil_par_JCM_8573	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_raoultii	Lentilactobacillus	raoultii	NA	Marseille-P4006	LT854294	Lentilactobacillus raoultii	Free Living	HE	LPSN	Lentil_rao_Marseille-P4006	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_rapi	Lentilactobacillus	rapi	NA	YIT_11204	AB366389	Lentilactobacillus rapi	Free Living	HE	LPSN	Lentil_rapiYIT_11204	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_senioris	Lentilactobacillus	senioris	NA	YIT_12364	AB602570	Lentilactobacillus senioris	Unknown	HE	LPSN	Lentil_sen_YIT_12364	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Lentilactobacillus_sunkii	Lentilactobacillus	sunkii	NA	YIT_11161	AB366385	Lentilactobacillus sunkii	Free Living	HE	LPSN	Lentil_sun_YIT_11161	4	#FDAE6B	Lactip_pla_pla_DSMZ_20174
Leuconostoc_carnosum	Leuconostoc	carnosum	NA	NCFB_2776	X95977	Leuconostoc carnosum	NA	HE	refseq	Leucon_car_NCFB_2776	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_citreum	Leuconostoc	citreum	NA	ATCC_49370	AF111948	Leuconostoc citreum	NA	HE	LPSN	Leucon_cit_ATCC_49370	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_falkenbergense	Leuconostoc	falkenbergense	NA	LMG_10779	HM443956	Leuconostoc falkenbergense	NA	HE	LPSN	Leucon_fal_LMG_10779	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_fallax	Leuconostoc	fallax	NA	DSM_20189	S63851	Leuconostoc fallax	NA	HE	refseq	Leucon_fal_DSM_20189	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_gasicomitatum	Leuconostoc	gasicomitatum	NA	LMG_18811	AF231131	Leuconostoc gasicomitatum	NA	HE	LPSN	Leucon_gas_LMG_18811	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_gelidum	Leuconostoc	gelidum	NA	DSMZ_5578	AF175402	Leuconostoc gelidum	NA	HE	LPSN	Leucon_gel_DSMZ_5578	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_gelidum_subsp._aenigmaticum	Leuconostoc	gelidum	aenigmaticum	POUF4d	KF577569	Leuconostoc gelidum aenigmaticum	NA	HE	LPSN	Leucon_gel_aen_POUF4d	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_holzapfelii	Leuconostoc	holzapfelii	NA	LMG_23990	AM600682	Leuconostoc holzapfelii	NA	HE	LPSN	Leucon_hol_LMG_23990	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_inhae	Leuconostoc	inhae	NA	IH003	AF439560	Leuconostoc inhae	NA	HE	LPSN	Leucon_inh_IH003	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_kimchii	Leuconostoc	kimchii	NA	IH25	AF173986	Leuconostoc kimchii	NA	HE	LPSN	Leucon_kim_IH25	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_lactis	Leuconostoc	lactis	NA	JCM_6123	MT760652	Leuconostoc lactis	NA	HE	LPSN	Leucon_lac_JCM_6123	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_litchii	Leuconostoc	litchii	NA	MB7	LC259518	Leuconostoc litchii	NA	HE	LPSN	Leucon_lit_MB7	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_mesenteroides	Leuconostoc	mesenteroides	NA	ATCC_8293	KX886793	Leuconostoc mesenteroides	NA	HE	LPSN	Leucon_mes_ATCC_8293	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_mesenteroides_subsp._cremoris	Leuconostoc	mesenteroides	cremoris	NCFB_543	AB023247	Leuconostoc mesenteroides cremoris	NA	HE	LPSN	Leucon_mes_cre_NCFB_543	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_mesenteroides_subsp._dextranicum	Leuconostoc	mesenteroides	dextranicum	NCFB_529	AB023244	Leuconostoc mesenteroides dextranicum	NA	HE	LPSN	Leucon_mes_dex_NCFB_529	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_mesenteroides_subsp._jonggajibkimchii	Leuconostoc	mesenteroides	jonggajibkimchii	DRC1506	CP014611	Leuconostoc mesenteroides jonggajibkimchii	NA	HE	LPSN	Leucon_mes_jon_DRC1506	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_miyukkimchii	Leuconostoc	miyukkimchii	NA	M2	HQ263024	Leuconostoc miyukkimchii	NA	HE	LPSN	Leucon_miy_M2	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_palmae	Leuconostoc	palmae	NA	TMW_2.694	AM940225	Leuconostoc palmae	NA	HE	LPSN	Leucon_pal_TMW_2.694	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_pseudomesenteroides	Leuconostoc	pseudomesenteroides	NA	NCDO_768	X95979	Leuconostoc pseudomesenteroides	NA	HE	refseq	Leucon_pse_NCDO_768	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_rapi	Leuconostoc	rapi	NA	LMG_27676	HG515542	Leuconostoc rapi	NA	HE	LPSN	Leucon_rapiLMG_27676	12	#5679e2	Periwe_gha_LMG_24286
Leuconostoc_suionicum	Leuconostoc	suionicum	NA	LMG_8159	HM443957	Leuconostoc suionicum	NA	HE	LPSN	Leucon_sui_LMG_8159	12	#5679e2	Periwe_gha_LMG_24286
Levilactobacillus_acidifarinae	Levilactobacillus	acidifarinae	NA	CCM_7240	MT760124	Levilactobacillus acidifarinae	Free Living	HE	refseq	Levila_aci_CCM_7240	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_andaensis	Levilactobacillus	andaensis	NA	866-3	LC597582	Levilactobacillus andaensis	NA	HE	LPSN	Levila_and_866-3	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_angrenensis	Levilactobacillus	angrenensis	NA	M1530-1	MK110858	Levilactobacillus angrenensis	Free Living	HE	LPSN	Levila_ang_M1530-1	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_bambusae	Levilactobacillus	bambusae	NA	BCRC_80970	KX400838	Levilactobacillus bambusae	Free Living	HE	LPSN	Levila_bam_BCRC_80970	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_brevis	Levilactobacillus	brevis	NA	DSMZ_20054	EF468097	Levilactobacillus brevis	Free Living	HE	refseq	Levila_bre_DSMZ_20054	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_cerevisiae	Levilactobacillus	cerevisiae	NA	TUM_BP_140423000-2250	KT445896	Levilactobacillus cerevisiae	Free Living	HE	LPSN	Levila_cer_TUM_BP_140423000-2250	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_enshiensis	Levilactobacillus	enshiensis	NA	HBUAS57009	MN082021	Levilactobacillus enshiensis	Free Living	HE	LPSN	Levila_ens_HBUAS57009	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_fujinensis	Levilactobacillus	fujinensis	NA	218-6	MK110865	Levilactobacillus fujinensis	Free Living	HE	LPSN	Levila_fuj_218-6	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_fuyuanensis	Levilactobacillus	fuyuanensis	NA	244-4	MK110862	Levilactobacillus fuyuanensis	Free Living	HE	LPSN	Levila_fuy_244-4	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_hammesii	Levilactobacillus	hammesii	NA	TMW_1.1236	AJ632219	Levilactobacillus hammesii	Free Living	HE	LPSN	Levila_ham_TMW_1.1236	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_huananensis	Levilactobacillus	huananensis	NA	151-2B	MK110857	Levilactobacillus huananensis	Free Living	HE	LPSN	Levila_hua_151-2B	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_koreensis	Levilactobacillus	koreensis	NA	DCY_50	FJ904277	Levilactobacillus koreensis	Free Living	HE	LPSN	Levila_kor_DCY_50	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_lanxiensis	Levilactobacillus	lanxiensis	NA	13B17	LC597584	Levilactobacillus lanxiensis	NA	HE	LPSN	Levila_lan_13B17	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_lindianensis	Levilactobacillus	lindianensis	NA	220-4	MK110856	Levilactobacillus lindianensis	Free Living	HE	LPSN	Levila_lin_220-4	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_mulengensis	Levilactobacillus	mulengensis	NA	112-3	MK110866	Levilactobacillus mulengensis	Free Living	HE	LPSN	Levila_mul_112-3	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_namurensis	Levilactobacillus	namurensis	NA	LMG_23583	AM259118	Levilactobacillus namurensis	Free Living	HE	LPSN	Levila_nam_LMG_23583	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_parabrevis	Levilactobacillus	parabrevis	NA	LMG_11984	AM158249	Levilactobacillus parabrevis	Free Living	HE	LPSN	Levila_par_LMG_11984	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_paucivorans	Levilactobacillus	paucivorans	NA	TMW_1.1424	FN185731	Levilactobacillus paucivorans	Free Living	HE	LPSN	Levila_pau_TMW_1.1424	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_senmaizukei	Levilactobacillus	senmaizukei	NA	L13	AB297927	Levilactobacillus senmaizukei	Free Living	HE	LPSN	Levila_sen_L13	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_spicheri	Levilactobacillus	spicheri	NA	LTH_5753	AJ534844	Levilactobacillus spicheri	Free Living	HE	LPSN	Levila_spi_LTH_5753	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_suantsaii	Levilactobacillus	suantsaii	NA	BCRC_12945	MH730159	Levilactobacillus suantsaii	Free Living	HE	LPSN	Levila_sua_BCRC_12945	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_suantsaiihabitans	Levilactobacillus	suantsaiihabitans	NA	R19	MH810313	Levilactobacillus suantsaiihabitans	Free Living	HE	LPSN	Levila_sua_R19	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_tangyuanensis	Levilactobacillus	tangyuanensis	NA	137-3	MK110859	Levilactobacillus tangyuanensis	Free Living	HE	LPSN	Levila_tan_137-3	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_tongjiangensis	Levilactobacillus	tongjiangensis	NA	218-10	MK110863	Levilactobacillus tongjiangensis	Free Living	HE	LPSN	Levila_ton_218-10	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_wangkuiensis	Levilactobacillus	wangkuiensis	NA	6-5(1)	LC597583	Levilactobacillus wangkuiensis	NA	HE	LPSN	Levila_wan_6-5(1)	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_yonginensis	Levilactobacillus	yonginensis	NA	THK-V8	JN128640	Levilactobacillus yonginensis	Free Living	HE	LPSN	Levila_yon_THK-V8	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Levilactobacillus_zymae	Levilactobacillus	zymae	NA	CCM_7241	MT760125	Levilactobacillus zymae	Free Living	HE	LPSN	Levila_zym_CCM_7241	4	#FD8D3C	Lactip_pla_pla_DSMZ_20174
Ligilactobacillus_acidipiscis	Ligilactobacillus	acidipiscis	NA	JCM_10692	AB289009	Ligilactobacillus acidipiscis	Unknown	HO	refseq	Ligila_aci_JCM_10692	10	#c17eea	Lactob_del_bul_DSM20081(T)
