id	new_id	new_species	new_genus	new_family
Lactobacillus oeni	Liquorilactobacillus oeni	Liquorilactobacillus oeni	Liquorilactobacillus	Lactobacillaceae
Lactobacillus satsumensis	Liquorilactobacillus satsumensis	Liquorilactobacillus satsumensis	Liquorilactobacillus	Lactobacillaceae
Lactobacillus sicerae	Liquorilactobacillus sicerae	Liquorilactobacillus sicerae	Liquorilactobacillus	Lactobacillaceae
Lactobacillus sucicola	Liquorilactobacillus sucicola	Liquorilactobacillus sucicola	Liquorilactobacillus	Lactobacillaceae
Lactobacillus uvarum	Liquorilactobacillus uvarum	Liquorilactobacillus uvarum	Liquorilactobacillus	Lactobacillaceae
Lactobacillus vini	Liquorilactobacillus vini	Liquorilactobacillus vini	Liquorilactobacillus	Lactobacillaceae
Lactobacillus backii	Loigolactobacillus backii	Loigolactobacillus backii	Loigolactobacillus	Lactobacillaceae
Lactobacillus bifermentans	Loigolactobacillus bifermentans	Loigolactobacillus bifermentans	Loigolactobacillus	Lactobacillaceae
Lactobacillus binensis 	Loigolactobacillus binensis 	Loigolactobacillus binensis 	Loigolactobacillus	Lactobacillaceae
Lactobacillus coryniformis	Loigolactobacillus coryniformis	Loigolactobacillus coryniformis	Loigolactobacillus	Lactobacillaceae
Lactobacillus iwatensis	Loigolactobacillus iwatensis	Loigolactobacillus iwatensis	Loigolactobacillus	Lactobacillaceae
Lactobacillus jiayinensis	Loigolactobacillus jiayinensis	Loigolactobacillus jiayinensis	Loigolactobacillus	Lactobacillaceae
Lactobacillus rennini	Loigolactobacillus rennini	Loigolactobacillus rennini	Loigolactobacillus	Lactobacillaceae
Lactobacillus zhaoyuanensis	Loigolactobacillus zhaoyuanensis	Loigolactobacillus zhaoyuanensis	Loigolactobacillus	Lactobacillaceae
Lactobacillus selangorensis	Paralactobacillus selangorensis	Paralactobacillus selangorensis	Paralactobacillus	Lactobacillaceae
Lactobacillus hokkaidonensis	Paucilactobacillus hokkaidonensis	Paucilactobacillus hokkaidonensis	Paucilactobacillus	Lactobacillaceae
Lactobacillus kaifaensis	Paucilactobacillus kaifaensis	Paucilactobacillus kaifaensis	Paucilactobacillus	Lactobacillaceae
Lactobacillus nenjiangensis	Paucilactobacillus nenjiangensis	Paucilactobacillus nenjiangensis	Paucilactobacillus	Lactobacillaceae
Lactobacillus oligofermentans	Paucilactobacillus oligofermentans	Paucilactobacillus oligofermentans	Paucilactobacillus	Lactobacillaceae
Lactobacillus suebicus	Paucilactobacillus suebicus	Paucilactobacillus suebicus	Paucilactobacillus	Lactobacillaceae
Lactobacillus vaccinostercus	Paucilactobacillus vaccinostercus	Paucilactobacillus vaccinostercus	Paucilactobacillus	Lactobacillaceae
Lactobacillus wasatchensis	Paucilactobacillus wasatchensis	Paucilactobacillus wasatchensis	Paucilactobacillus	Lactobacillaceae
Lactobacillus harbinensis	Schleiferilactobacillus harbinensis	Schleiferilactobacillus harbinensis	Schleiferilactobacillus	Lactobacillaceae
Lactobacillus perolens	Schleiferilactobacillus perolens	Schleiferilactobacillus perolens	Schleiferilactobacillus	Lactobacillaceae
Lactobacillus shenzhenensis	Schleiferilactobacillus shenzhenensis	Schleiferilactobacillus shenzhenensis	Schleiferilactobacillus	Lactobacillaceae
Lactobacillus collinoides	Secundilactobacillus collinoides	Secundilactobacillus collinoides	Secundilactobacillus	Lactobacillaceae
Lactobacillus kimchicus	Secundilactobacillus kimchicus	Secundilactobacillus kimchicus	Secundilactobacillus	Lactobacillaceae
Lactobacillus malefermentans	Secundilactobacillus malefermentans	Secundilactobacillus malefermentans	Secundilactobacillus	Lactobacillaceae
Lactobacillus mixtipabuli	Secundilactobacillus mixtipabuli	Secundilactobacillus mixtipabuli	Secundilactobacillus	Lactobacillaceae
Lactobacillus odoratitofui	Secundilactobacillus odoratitofui	Secundilactobacillus odoratitofui	Secundilactobacillus	Lactobacillaceae
Lactobacillus oryzae	Secundilactobacillus oryzae	Secundilactobacillus oryzae	Secundilactobacillus	Lactobacillaceae
Lactobacillus paracollinoides	Secundilactobacillus paracollinoides	Secundilactobacillus paracollinoides	Secundilactobacillus	Lactobacillaceae
Lactobacillus  pentosiphilus	Secundilactobacillus pentosiphilus	Secundilactobacillus pentosiphilus	Secundilactobacillus	Lactobacillaceae
Lactobacillus silagei 	Secundilactobacillus silagei 	Secundilactobacillus silagei 	Secundilactobacillus	Lactobacillaceae
Lactobacillus silagincola	Secundilactobacillus silagincola	Secundilactobacillus silagincola	Secundilactobacillus	Lactobacillaceae
Lactobacillus similis	Secundilactobacillus similis	Secundilactobacillus similis	Secundilactobacillus	Lactobacillaceae
Lactobacillus reuteri	Limosilactobacillus reuteri	Limosilactobacillus reuteri	Limosilactobacillus	Lactobacillaceae
